Record ID,Record date,Record time,Species,Lifestage,Sex,Quantity,County,Nearest town/City,Grid ref,Verification state,Latitude,Longitude
47985,2021-09-27,22:10:00,Unknown newt,Young,unknown,1,Glasgow City,North East,NS66,Considered Correct,55.81291174356828,-4.236601439602686
47939,2021-09-22,15:19:00,Adder,Adult,unknown,2,Dumfries and Galloway,,NX25,Considered Correct,54.81244679731711,-4.804441009198386
47932,2021-09-23,09:53:00,Common lizard,Dead,unknown,1,Edinburgh City,Edinburgh,NT17,Unable to Verify,55.91464699687556,-3.4417156105499176
47928,2021-09-20,13:00:00,Common toad,Young,unknown,10,Perth and Kinross,,NO12,Considered Correct,56.363726821649955,-3.458634365433587
47927,2021-09-21,18:30:00,Common lizard,Young,unknown,1,Perth and Kinross,,NO12,Considered Correct,56.363726821649955,-3.458634365433587
47846,2021-09-19,00:15:00,Unknown newt,Young,unknown,5,North Ayrshire,,NS34,Considered Correct,55.623782129480375,-4.703064580525368
47804,2021-09-15,15:30:00,Slow-worm,Adult,female,1,Perth and Kinross,Comrie,NN72,Considered Correct,56.35442229896726,-4.106192373703626
47798,2021-09-16,10:30:00,Common toad,Adult,unknown,1,North Lanarkshire,Coatbridge,NS76,Considered Correct,55.81570817462775,-4.076960818342806
47794,2021-09-16,23:16:00,Palmate newt,Young,unknown,1,Aberdeenshire,North Kincardine,NO89,Considered Correct,57.00072709331582,-2.330857967880216
47792,2021-09-16,20:15:00,Common toad,Young,unknown,1,West Dunbartonshire,Clydebank,NS57,Considered Correct,55.89967892650784,-4.401782003177368
47744,2021-09-15,15:20:00,Palmate newt,Young,unknown,1,Edinburgh City,Bonaly,NT26,Considered Correct,55.82658918429095,-3.278744634866987
47739,2021-09-15,14:10:00,Common lizard,Adult,unknown,1,Stirling,Drymen,NS48,Considered Correct,55.98621632848043,-4.5677334300113
47736,2021-09-10,,Common toad,Adult,unknown,1,Aberdeenshire,,NK05,Considered Correct,57.540134901522265,-2.001655789729415
47735,2021-09-10,,Common frog,Adult,unknown,6,Aberdeenshire,,NK05,Considered Correct,57.540134901522265,-2.001655789729415
47726,2021-09-14,18:50:00,Smooth newt,Young,unknown,1,North Lanarkshire,Glasgow,NS66,Considered Correct,55.81291174356828,-4.236601439602686
47722,2021-09-14,16:30:00,Common lizard,Young,unknown,1,Edinburgh City,Drumbrae,NT17,Unable to Verify,55.91464699687556,-3.4417156105499176
47715,2021-09-13,00:00:00,Palmate newt,Young,unknown,1,Dumfries and Galloway,Dumfries,NX97,Considered Correct,55.01235537217608,-3.7221105701882666
47713,2021-08-31,22:05:00,Unknown lizard,Adult,unknown,1,Moray,Elgin,NJ26,Considered Correct,57.622844478576894,-3.3412494734031526
47710,2021-09-12,11:30:00,Common lizard,Adult,unknown,1,Aberdeen City,Bridge of Don,NJ91,Considered Correct,57.18071532230036,-2.167050158812847
47709,2021-09-13,10:35:00,Common lizard,Adult,unknown,1,South Ayrshire,,NS30,Considered Correct,55.264758354014305,-4.678577936500252
47666,2021-09-11,20:40:00,Palmate newt,Young,unknown,1,Falkirk,Falkirk,NS87,Considered Correct,55.908096326281786,-3.9217528270127855
47633,2021-09-11,10:30:00,Common lizard,Adult,unknown,1,Dumfries and Galloway,Sandhead,NX04,Considered Correct,54.71513378931693,-5.108950793676416
47630,2021-09-11,01:15:00,Palmate newt,Young,unknown,1,East Dunbartonshire,Kirkintilloch,NS67,Considered Correct,55.902692018911104,-4.241773291900546
47626,2021-09-10,21:52:00,Palmate newt,Young,unknown,1,Dundee City,Broughty Ferry,NO43,Considered Correct,56.45831639791984,-2.9752549506073374
47589,2021-09-08,15:00:00,Common lizard,Adult,unknown,1,Moray,Ballindalloch,NJ12,Considered Correct,57.26177795724101,-3.4939719922389525
