"Record ID","Record date","Record time",Species,Lifestage,Sex,Quantity,County,"Nearest town/City","Grid ref","Verification state"
63733,2024-05-04,10:15:00,"Common lizard",Adult,unknown,1,"East Dunbartonshire","Campsie Glen",NS67,
63725,2024-05-03,12:30:00,"Smooth newt",Adult,unknown,1,"Dumfries and Galloway",Dumfries,NX98,
63682,2024-04-23,17:00:00,"Common lizard",unknown,unknown,1,"Dumfries and Galloway",Courance,NY09,
63666,2024-04-27,15:00:00,"Alpine newt",Adult,unknown,6,"City Of Edinburgh","West Mains",NT27,
63625,2024-04-27,14:00:00,"Common frog",Spawn,unknown,1,Stirling,,NN52,
63624,2024-04-27,13:00:00,"Common frog",Spawn,unknown,1,Stirling,,NN52,"Considered Correct"
63623,2024-04-27,12:00:00,"Common frog",Spawn,unknown,1,Stirling,,NN52,"Considered Correct"
63622,2024-04-27,11:00:00,"Common frog",Spawn,unknown,3,Stirling,,NN52,"Considered Correct"
63621,2024-04-27,11:00:00,"Common frog",Spawn,unknown,1,Stirling,,NN52,"Considered Correct"
63615,2024-04-27,10:00:00,"Common frog",Tadpoles,unknown,"Qty unknown",Stirling,Lochearnhead,NN52,
63612,2024-04-28,16:30:00,"Common lizard",Adult,unknown,1,"Perth and Kinross",,NN73,
63591,2024-04-28,10:20:00,"Common toad",Adult,male,2,"Dumfries and Galloway",Dumfries,NX98,
63552,2024-04-26,12:50:00,"Common lizard",unknown,unknown,1,Aberdeenshire,,NJ62,"Considered Correct"
63461,2024-04-22,09:00:00,"Common lizard",Young,unknown,1,Stirling,Doune,NN70,
63411,2024-04-21,16:30:00,"Common lizard",Young,female,1,Moray,,NJ26,"Considered Correct"
63410,2024-04-21,16:30:00,"Common lizard",Young,male,1,Moray,,NJ26,"Considered Correct"
63409,2024-04-21,16:30:00,"Common lizard",Adult,male,2,Moray,,NJ26,"Considered Correct"
63340,2024-04-19,20:55:00,"Palmate newt",Adult,unknown,1,"Glasgow City",Blairdardie,NS56,
63226,2024-04-08,14:05:00,Slow-worm,unknown,unknown,1,"Perth and Kinross",,NN65,
63126,2024-04-14,14:01:00,"Unknown frog or toad",Spawn,unknown,"Qty unknown","Aberdeen City",Kincorth,NJ90,"Unable to Verify"
63099,2024-03-30,10:00:00,"Great crested newt",Adult,unknown,1,"Dumfries and Galloway",,NX48,
